,Grade,Subject,Test Code,Question Number,Question ID,Answer,Question Topic,Question Description
0,Class 4,Language,WLBB21,1,WLBB211,B,Contextual Use of Language,Identify correct consonant to complete a word
1,Class 4,Language,WLBB21,2,WLBB212,A,Contextual Use of Language,Identify the correct opposite word for the a given word
2,Class 4,Language,WLBB21,3,WLBB213,C,Literal Reading,Retrieve direct information from an informative text and choose from competing options
3,Class 4,Language,WLBB21,4,WLBB214,B,Critical Reading,Understand informative text and answer the question based on it
4,Class 4,Language,WLBB21,5,WLBB215,D,Critical Reading,Retrieve direct information from an informative text and choose from competing options
5,Class 4,Language,WLBB21,6,WLBB216,A,Contextual Use of Language,Identify the correct action verb to complete the given sentence 
6,Class 4,Language,WLBB21,7,WLBB217,C,Contextual Use of Language,Recognise the plural form of an given object
7,Class 4,Language,WLBB21,8,WLBB218,A,Literal Reading,Retrieve directly stated information from a short literary text (6-7 lines)
8,Class 4,Language,WLBB21,9,WLBB219,D,Critical Reading,Infer using the information directly stated in a  short literary text (6-7 lines)
9,Class 4,Language,WLBB21,10,WLBB2110,C,Critical Reading,Identify the event by understanding sequence of events in a short literary text (6-7 lines)
10,Class 4,Language,WLBB21,11,WLBB2111,D,Contextual Use of Language,Identify the correct word from competing options
11,Class 4,Language,WLBB21,12,WLBB2112,B,Contextual use of language,Fill in the blank with the correct present tense verb
12,Class 4,Language,WLBB21,13,WLBB2113,C,Literal Reading,Retrieve directly stated information from a short story
13,Class 4,Language,WLBB21,14,WLBB2114,B,Critical Reading,Read the short story and retrieve the information asked from it
14,Class 4,Language,WLBB21,15,WLBB2115,B,Critical Reading,Read the short story and infer the reason behind final decision
15,Class 4,Language,WLBB21,16,WLBB2116,D,Contextual use of language,Choose correct structure for a pronoun-verb sentence from competing options
16,Class 4,Language,WLBB21,17,WLBB2117,A,Contextual use of language,Recognise the correct adjective type
17,Class 4,Language,WLBB21,18,WLBB2118,C,Contextual use of language,Complete the analogy by identifying the feminine word for given word
18,Class 4,Language,WLBB21,19,WLBB2119,B,Contextual Use of Language,Identify vowel sounds in the given word
19,Class 4,Language,WLBB21,20,WLBB2120,C,Critical Reading,Identify the odd one out from given set of words 
20,Class 4,Language,WLBB21,21,WLBB2121,D,Literal Reading,Read the informative text and retrieve directly stated information in it
21,Class 4,Language,WLBB21,22,WLBB2122,C,Literal Reading,Read the informative text and answer the question asked
22,Class 4,Language,WLBB21,23,WLBB2123,B,Critical Reading,Read the informative text and identify false statement based on directly stated information
23,Class 4,Language,WLBB21,24,WLBB2124,C,Critical Reading,Identify the word made of complex letters
24,Class 4,Language,WLBB21,25,WLBB2125,B,Contextual Use of Language,Recognise rhyming words to a given word
25,Class 4,Language,WLBB21,26,WLBB2126,D,Literal Reading,Read a notice and retrieves directly stated information
